"domain_name","call_center_queue_uuid","queue_name","total_calls","answered","missed","abandoned","answered_tta_count","answered_tta_percent","answered_time","wait_time","domain_uuid"
"corporateoffice.fusionpbx.wi-fiber.io","7e7d76d8-c33e-4305-b6a2-e6301944af66","ALL-Billing-Support-Queue","632","113","484","32","107","95","71746","33657","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","cc775c00-9550-4692-b193-da0967310ce3","ALL-Sales-Queue","23","4","15","3","3","75","3294","1369","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","f80c8b66-d513-4bb4-a06f-14c5fcfb6402","ALL-Spanish-Queue","75","27","46","2","27","100","9037","1473","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","c93136fb-1313-478c-a84a-8101536edd83","ALL-VIP-Support-Queue","24","1","1","19","1","100","38","29","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","dc73c82c-31ac-412c-b1a5-1055834dee1b","DWW-Billing-Support-Queue","113","78","0","35","37","47","37447","9011","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","0d7a5d79-ab03-4738-afaf-be1d3e8f7fdd","DWW-Sales-Queue","5","5","0","0","5","100","2840","1140","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","d988947d-1d88-41c3-ba37-5870cef9f600","HCW-Billing-Support-Queue","108","76","0","32","64","84","21854","5393","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","5033a29f-8aae-4ac8-b01e-01ce662c76dc","HCW-Sales-Queue","26","18","0","8","16","89","5444","690","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","89aa1a4f-a449-49b7-ab23-ececa62b3dfe","NET-Billing-Support-Queue","39","27","0","12","13","48","17635","7089","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","330e4e5e-6b9e-4359-ac8c-b9366a494ad1","NET-Sales-Queue","21","19","0","2","12","63","10226","1789","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","98319486-18a6-4662-b3a1-a035ec4a20a9","PHI-Billing-Support-Queue","289","189","0","100","58","31","96957","32039","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","e61a9444-0aef-4288-9a49-3f16cc85f27b","PHI-BusinessSales-Queue","0","0","0","0","0","0","","","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","a1ae6201-2395-4417-9c88-32b66d141744","PHI-Employee-Call-In","5","1","0","4","1","100","223","5","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","64c356aa-8163-4e92-9907-a8e31b569989","PHI-Sales-Queue","159","99","0","60","80","81","25385","5269","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","cdba5120-d134-43be-b52b-abe8adce1d44","RGO-Billing-Support-Queue","85","57","7","20","41","72","17566","2353","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","6f3cf6bf-214b-4a5c-bd62-8167dfc29704","RGO-Sales-Queue","38","22","0","16","13","59","17274","3399","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","821f6545-422f-44f8-8f20-4c695cf5d6ee","RGO-Scheduling-Queue","50","22","13","15","17","77","6484","1018","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","6104dc8e-9e41-40e4-9e1b-fc388561c369","RGO-Support-Queue","133","42","32","57","24","57","23161","3226","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","06cde3f1-cfa8-4045-ae58-ebd5d4ef97cc","RGW-Billing-Support-Queue","0","0","0","0","0","0","","","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","85f26393-8a3e-436f-ba88-e1fc45110084","RGW-Sales-Queue","0","0","0","0","0","0","","","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","2f8765bb-2980-4274-8610-f3e048fd21e0","RGW-Scheduling-Queue","0","0","0","0","0","0","","","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","5e59e345-3759-4191-9ff1-0ca91525ef78","RGW-Support-Queue","0","0","0","0","0","0","","","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","82a1c09f-f974-4ac7-8dec-f09b5324ef00","TSW-Billing-Support-Queue","497","344","3","150","136","40","131303","45330","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","247688c8-ac2a-427f-b79f-60c26ed203b1","TSW-Sales-Queue","59","52","0","7","45","87","14487","3252","0d7c7859-4771-4d86-ac7b-a0227d93f512"
"corporateoffice.fusionpbx.wi-fiber.io","63e76cb5-d172-412d-a56e-523f3060cf8c","TWE-Billing-Support-Queue","173","124","0","49","46","37","64210","16282","0d7c7859-4771-4d86-ac7b-a0227d93f512"
